id,code,name,categoria_ids,activar,union_id/id
employee_management_extended.record_000170,0041/89,UNION TRABAJADORES SOCIEDADES DE AUTORES DE LA REPUBLICA ARGENTINA c/ A.A.D.I. -C.A.P.F. - A.C.R.,,FALSE,
employee_management_extended.record_000171,0041/91 E,AEROLINEAS ARGENTINAS S.A. / ASOC. DEL PERSONAL TECNICO AERONAUTICO,,FALSE,
employee_management_extended.record_000172,0042/05RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000173,0042/06RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000174,0042/75 E,SUBTERRANEO. EMPRESA DEL ESTADO. / ASOC. DEL PERSONAL DE DIRECCIÓN DE LA EMP. SUBTERRANEOS DE BA.,,FALSE,
employee_management_extended.record_000175,0042/89,FEDERACION DE ASOCIACIONES DE TRABAJADORESDE LA SANIDAD ARGENTINA c/ FEDERACION ARGENTINA DE LA INDUSTRIA DE LA SANIDAD.,,FALSE,
employee_management_extended.record_000176,0042/91 E,EMPRESA PROVINCIAL DE ENERGÍA DE CORDOBA / ASOC. DEL PERSONAL SUPERIOR DE E.P.E.C,,FALSE,
employee_management_extended.record_000177,0043/05RTA,LA RIOJA Y CATAMARCA,,FALSE,
employee_management_extended.record_000178,0043/06RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000179,0043/89,SIND.DE CAPATACES ESTIBADORES PORTUARIOS c/ CENTRO COORDINADOR DE ACTIVIDADES PORTUARIAS Y OTRAS.,,FALSE,
employee_management_extended.record_000180,0043/91 E,AEROLINEAS ARGENTINAS S.A. / ASOC. ARGENTINA DE AERONAVEGANTES,,FALSE,
employee_management_extended.record_000181,0044/05RTA,CORRIENTES Y ENTRE RIOS,,FALSE,
employee_management_extended.record_000182,0044/06RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000183,0044/73 E,AGUA Y ENERGIA ELECTRICA S.E. / ASOCIACION DEL PERSONAL UNIVERSITARIO DEL AGUA Y LA ENERGIA ELECTRICA,,FALSE,
employee_management_extended.record_000184,0044/89,SINDICATO ENCARGADOS APUNTADORES MARITIMOSc/CENTRO COORDINADOR ACTIVID. PORTUARIAS.,,FALSE,
employee_management_extended.record_000185,0045/06RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000186,0045/75 E,INDUSTRIAS MECANICAS DEL ESTADO S.A. / ASOC. TRABAJADORES DEL ESTADO,,FALSE,
employee_management_extended.record_000187,0045/91 E,GAS DEL ESTADO. / ASOC. DEL PERSONAL JERARQUICO DE GAS DEL ESTADO,,FALSE,
employee_management_extended.record_000188,0045/93RTA,SANTA FE,,FALSE,
employee_management_extended.record_000189,0046/05RTA,SANTA FE,,FALSE,
employee_management_extended.record_000190,0046/06RTA,"TODO EL PAIS, EXCEPTO TUCUMAN",,FALSE,
employee_management_extended.record_000191,0046/89RTA,"CHACO,FORMOSA,LA RIOJA,CATAMARCA Y SANTIAGO DEL ESTERO",,FALSE,
employee_management_extended.record_000192,0046/91 E,AEROLINEAS ARGENTINAS S.A. / ASOC. DEL PERSONAL AERONAUTICO,,FALSE,
employee_management_extended.record_000193,0047/05RTA,SANTA FE,,FALSE,
employee_management_extended.record_000194,0047/06RTA,BUENOS AIRES Y LA PAMPA,,FALSE,
employee_management_extended.record_000195,0047/75 E,SEGBA - EMPRESA DEL ESTADO / ASOC. DE PROFESIONALES DEL ARTE DE CURAR DE SEGBA,,FALSE,
employee_management_extended.record_000196,0048/75 E,Y.P.F. / CENTRO DE COMISARIOS NAVALES,,FALSE,
employee_management_extended.record_000197,0049/06RTA,MISIONES Y CORRIENTES SOLO DEPTOS. DE SANTO TOME E ITUZAINGO,,FALSE,
employee_management_extended.record_000198,0049/75 E,FERROCARRILES ARGENTINOS / SIND. DE ELECTRICISTAS Y ELECTRONICISTAS NAVALES,,FALSE,
